program	ID	Name	Proponent	Project Type	Distinctions	Status	region	country_area	trop_subtrop	yearMR	mammals	birds	reptiles	amphibians	fish	plants	invertebrates	fungi	protists	prokaryotes	camtrap	accous	traps	DNA	formal_obs	incidental_obs	camtrap_n	accous_n	traps_n	DNA_n	formal_obs_n	incidental_obs_n	animal_mon	sample_based_n_provided	raw_data_avail	mon_results_in_unavail.report	taxa_notes	methods_notes	data_notes	lat_approx	lon_approx	kml	area_ha	ann_emiss_red	notes
CCB	1769	"Grouped Project for restoration of degraded lands in Jaguar Corridors, Colombia"	Multiple Proponents	"Afforestation, Reforestation and Revegetation"	Biodiversity Gold	Verification approved	South America	Colombia	1	2019	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	NA	0	0	0	0	NA	"yes, sample based"	N	N	N	4 of the mammals are listed as targets of monitoring but were not actually listed as being observed	"3819 camera trap nights, but number of traps unclear"		7.996339	-76.142244	1	4320	6835	
CCB	1811	Jari/Pará REDD+ Project	Multiple Proponents	Reduced Emissions from Deforestation and Degradation	Climate Gold; Biodiversity Gold	Verification public comment period requested 	South America	Brazil	1	2023	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	NA	NA	"yes, sample based"	N	N	N		twice annual 'fauna monitoring campaigns' targeting birds and mammals (no specific method listed); permanent vegetation monitoring plots		-1.4255	-52.657233	1	496988	525314	
CCB	1825	Afforestation Project in Xining City	"Qinghai Forestry Ecological Construction and Investment Co., Ltd."	"Afforestation, Reforestation and Revegetation"	Gold	Under Verification	Asia	China	0	2022	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	14	NA	"yes, sample based"	Y	N	Y	mention 25 bird species but only list 8; mention amphibians but don't list any	"6 fixed 'animal' survey plots and 8 line transects; ""camera"" mentioned once but wasn't clear if it was a camera trap"	reference an annual biodiversity monitoring report that was not available on website	37.272478	101.175361	0	12874	499982	
CCB	1826	Qinghai Afforestation Project	"Qinghai Forestry Ecological Construction and Investment Co., Ltd."	"Afforestation, Reforestation and Revegetation"	Gold	Under Verification	Asia	China	0	2019	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	11	0	"yes, sample based"	Y	N	Y	mention 8 mammals and 19 birds as present in the nearby park based on published research	"plants monitored in one fixed plot per strata (n = 11), animals (""birds and rodents"") along in a (single?) 3000 m transect line per strata (n = 11)"	MR mentions a monitoring spreadsheet which isn't available online	36.530719	101.409342	1	13862	766948	
CCB	1832	Haidong Afforestation Project	"Qinghai Forestry Ecological Construction and Investment Co., Ltd."	"Afforestation, Reforestation and Revegetation"	Gold	Under Verification	Asia	China	0	2022	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	14	0	"yes, sample based"	Y	N	N	"MR states that 31 ""animal species"" were observed; assuming they were all birds as no mammals are mentioned; also, report for similar project 1825 uses very similar language and appears to use 'animal' and 'bird' interchangeably (both = 25 species). "	"6 fixed 'animal' survey plots and 8 line transects; ""camera"" mentioned once but wasn't clear if it was a camera trap; 1 veg plot in each of 6 strata"		36.717753	102.23612	0	12849	598145	
CCB	1847	Qianxinan Afforestation Project in Guizhou Province	"Guizhou Baiheng Fertiliser Co., Ltd"	"Afforestation, Reforestation and Revegetation"		Verification approval requested 	Asia	China	1	2022	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	0	"yes, sample based"	Y	N	N		"MR states ""All the fresh animal feces met should be sampled for molecular biological analysis."" though no results related to this were reported. No mammals were encountered in surveys apparently."		25.018073	104.927432	0	32047	469669	
CCB	1855	Hechu Afforestation Project in Anhui Province	"Hefei Zhuoya Landscaping Engineering Co., Ltd."	"Afforestation, Reforestation and Revegetation"		Verification approved	Asia	China	1	2020	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	25	0	"yes, sample based"	Y	N	N		"MR states ""All the fresh animal feces met should be sampled for molecular biological analysis."" though no results related to this were reported."		31.832031	117.908261	1	30057	469187	
CCB	1864	Puzhen Afforestation Project in Guizhou Province	"Guizhou Baiheng Fertiliser Co., Ltd"	"Afforestation, Reforestation and Revegetation"	Gold	Verification approval requested 	Asia	China	1	2022	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	29	0	"yes, sample based"	Y	N	N		"MR states ""All the fresh animal feces met should be sampled for molecular biological analysis."" though no results related to this were reported."		25.739147	105.858247	1	26551	313023	
CCB	1865	Xiguan Afforestation Project in Guizhou Province	"Guizhou Baiheng Fertiliser Co., Ltd"	"Afforestation, Reforestation and Revegetation"		Verification approval requested 	Asia	China	1	2022	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	33	0	"yes, sample based"	Y	N	N		"MR states ""All the fresh animal feces met should be sampled for molecular biological analysis."" though no results related to this were reported."		25.829617	105.564358	1	25449	388420	
CCB	1866	XinJiang Makit County Afforestation Carbon Sequestration Project	"Makit Base Junlian Cotton Industry Co., Ltd."	"Afforestation, Reforestation and Revegetation"	Gold	Verification approved	Asia	China	0	2019	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	"yes, sample based"	Y	N	N				38.974796	77.82019	0	6697	90393	
